,China,Philippines,Iran,Pakistan,Italy,Spain,Russia,South Africa,Algeria,Canada,Brazil,India,Thailand,Fechas
0,503,0,0,0,0,0,0,0,0,0,0,0,2,2020-01-22
1,595,0,0,0,0,0,0,0,0,0,0,0,3,2020-01-23
2,858,0,0,0,0,0,0,0,0,0,0,0,5,2020-01-24
3,1325,0,0,0,0,0,0,0,0,0,0,0,7,2020-01-25
4,1970,0,0,0,0,0,0,0,0,1,0,0,6,2020-01-26
5,2737,0,0,0,0,0,0,0,0,1,0,0,6,2020-01-27
6,5277,0,0,0,0,0,0,0,0,2,0,0,9,2020-01-28
7,5835,0,0,0,0,0,0,0,0,2,0,0,9,2020-01-29
8,7837,1,0,0,0,0,0,0,0,2,0,1,9,2020-01-30
9,9378,1,0,0,2,0,2,0,0,4,0,1,14,2020-01-31
10,11360,1,0,0,2,1,2,0,0,4,0,1,14,2020-02-01
11,15819,1,0,0,2,1,2,0,0,4,0,2,14,2020-02-02
12,18696,1,0,0,2,1,2,0,0,4,0,3,14,2020-02-03
13,22404,1,0,0,2,1,2,0,0,4,0,3,20,2020-02-04
14,25815,1,0,0,2,1,2,0,0,5,0,3,20,2020-02-05
15,28546,1,0,0,2,1,2,0,0,5,0,3,20,2020-02-06
16,31501,2,0,0,3,1,2,0,0,7,0,3,20,2020-02-07
17,33559,2,0,0,3,1,2,0,0,7,0,3,22,2020-02-08
18,35892,2,0,0,3,2,2,0,0,7,0,3,22,2020-02-09
19,37656,2,0,0,3,2,2,0,0,7,0,3,22,2020-02-10
20,38904,2,0,0,3,2,2,0,0,7,0,3,23,2020-02-11
21,40368,1,0,0,3,2,0,0,0,7,0,3,23,2020-02-12
22,52673,1,0,0,3,2,0,0,0,7,0,3,21,2020-02-13
23,57304,1,0,0,3,2,0,0,0,7,0,3,21,2020-02-14
24,57944,1,0,0,3,0,0,0,0,7,0,3,21,2020-02-15
25,58537,1,0,0,3,0,0,0,0,7,0,0,20,2020-02-16
26,58739,1,0,0,3,0,0,0,0,8,0,0,20,2020-02-17
27,58660,1,0,0,3,0,0,0,0,8,0,0,20,2020-02-18
28,57266,1,0,0,3,0,0,0,0,8,0,0,20,2020-02-19
29,55631,1,3,0,3,0,0,0,0,8,0,0,20,2020-02-20
30,55528,1,14,0,19,0,0,0,0,9,0,0,18,2020-02-21
31,52892,1,23,0,59,0,0,0,0,9,0,0,18,2020-02-22
32,52477,1,35,0,150,0,0,0,0,9,0,0,14,2020-02-23
33,50808,1,49,0,221,0,0,0,0,10,0,0,14,2020-02-24
34,48663,1,79,2,311,4,0,0,1,11,0,0,15,2020-02-25
35,46659,1,71,2,438,11,0,0,1,11,1,0,18,2020-02-26
36,44266,1,170,2,593,13,0,0,1,13,1,0,18,2020-02-27
37,41198,1,281,4,821,30,0,0,1,14,1,0,13,2020-02-28
38,38651,1,427,4,1053,43,0,0,1,20,2,0,14,2020-02-29
39,36390,1,749,4,1577,82,0,0,1,24,2,0,13,2020-03-01
40,33869,1,1144,5,1835,118,1,0,3,27,2,2,11,2020-03-02
41,31395,1,1968,5,2263,162,1,0,5,30,2,2,11,2020-03-03
42,28937,1,2278,5,2706,218,1,0,12,33,4,25,11,2020-03-04
43,26773,1,2667,6,3296,254,2,1,12,37,4,27,15,2020-03-05
44,25251,3,3710,6,3916,393,11,1,17,49,13,28,16,2020-03-06
45,23710,4,4009,5,5061,460,11,1,17,54,13,31,18,2020-03-07
46,21889,8,4238,5,6387,626,14,3,19,64,20,36,18,2020-03-08
47,20487,18,4530,15,7985,1013,14,3,20,76,25,40,18,2020-03-09
48,19121,30,5020,17,8794,1628,17,7,20,78,31,52,19,2020-03-10
49,17672,46,5687,18,10590,2040,17,13,20,107,38,57,24,2020-03-11
50,16416,48,6687,26,13052,2039,25,17,15,116,52,68,35,2020-03-12
51,15128,57,7891,29,14955,4906,42,24,16,190,151,76,39,2020-03-13
52,13684,101,9159,51,17750,5679,51,38,22,195,151,96,46,2020-03-14
53,12343,127,8624,134,20603,6992,55,51,32,249,162,98,78,2020-03-15
54,11466,128,9548,234,23073,9070,82,62,38,409,199,104,111,2020-03-16
55,10590,170,9792,297,26062,10187,106,62,44,465,318,125,135,2020-03-17
56,9666,178,10837,439,28710,12206,139,116,55,640,367,139,169,2020-03-18
57,8932,192,11413,485,33190,16026,189,150,46,782,613,175,229,2020-03-19
58,8291,204,11466,714,38549,17779,243,202,47,921,780,219,279,2020-03-20
59,7749,275,11419,766,42681,21874,293,240,92,1248,1004,303,368,2020-03-21
60,7359,338,12022,864,46638,24421,350,274,119,1436,1519,362,554,2020-03-22
61,6970,412,13306,947,50826,30250,421,402,148,2051,1888,462,676,2020-03-23
62,6590,497,13964,1034,54030,33283,472,550,221,2752,2199,486,771,2020-03-24
63,6163,572,15315,1171,57521,40501,626,697,216,3209,2493,602,860,2020-03-25
64,5870,634,16715,1339,62013,46406,799,915,313,3992,2902,662,953,2020-03-26
65,5441,718,18821,1454,66414,51224,987,1138,354,4616,3319,794,1034,2020-03-27
66,5161,972,21212,1554,70065,54968,1211,1155,394,5503,3787,879,1142,2020-03-28
67,4797,1305,23278,1620,73880,58598,1462,1247,449,6204,4114,902,1284,2020-03-29
68,4528,1426,24827,1836,75528,63460,1761,1292,512,7306,4300,1117,1286,2020-03-30
69,4325,1947,27051,1997,77635,68200,2199,1317,626,8414,5389,1239,1299,2020-03-31
70,4201,2165,29084,2262,80572,72084,2563,1325,728,9439,6469,1792,1254,2020-04-01
71,4106,2475,30597,2520,83049,74974,3283,1407,839,11133,7593,2280,1355,2020-04-02
72,3986,2830,31954,2646,85388,77488,3834,1401,1004,12246,8570,2303,1347,2020-04-03
73,3828,2893,32555,2899,88274,80002,4355,1481,1031,12748,9788,2767,1373,2020-04-04
74,3623,3030,34887,3454,91246,80925,4989,1549,1078,15485,10517,3260,1353,2020-04-05
75,3582,3424,32525,3549,93187,82897,5890,1579,1160,16212,11470,4267,1401,2020-04-06
76,3537,3503,31678,3735,94067,84689,6945,1641,1162,17485,13221,4740,1343,2020-04-07
77,3469,3592,30781,3852,95262,85407,8029,1732,1130,18722,15224,5232,1451,2020-04-08
78,3430,3749,29801,3902,96877,85610,9357,1821,1084,20139,16969,5879,1451,2020-04-09
79,3375,3834,28495,4163,98273,86524,11028,1569,1100,21490,18408,6578,1427,2020-04-10
80,3359,4024,23725,4111,100269,87312,12433,1593,1090,22650,19430,7189,1348,2020-04-11
81,3401,4154,23318,4308,102253,87231,14349,1738,1030,23573,20796,7794,1295,2020-04-12
82,3395,4375,22735,4363,103616,87616,16710,1835,1069,24887,21929,8914,1251,2020-04-13
83,3329,4593,22065,4826,104291,86981,19238,1978,1053,26122,20684,9735,1167,2020-04-14
84,3267,4751,21679,5146,105418,88083,22306,2062,1116,27189,12558,10485,1103,2020-04-15
85,3225,4863,20897,5125,106607,90836,25402,1654,1137,29538,14475,11214,1033,2020-04-16
86,3142,5004,20472,5663,106962,96040,29145,1830,1208,31446,17515,11825,964,2020-04-17
87,3107,5174,19850,6312,107771,96886,33423,2079,1273,32943,20278,12738,899,2020-04-18
88,3049,5278,20070,6272,108257,100864,39201,2201,1207,34056,14062,14202,790,2020-04-19
89,3007,5418,19023,7291,108237,98771,43270,2187,1235,35919,16026,14674,746,2020-04-20
90,2989,5508,18540,7708,107709,100382,48434,2352,1267,37480,17347,15460,655,2020-04-21
91,2942,5571,17492,8391,107699,100757,53066,2515,1304,39573,17533,16319,425,2020-04-22
92,2836,5797,16702,8932,106848,101617,57327,2405,1245,41046,20132,17344,359,2020-04-23
93,2726,5953,16021,9588,106527,88111,62439,2668,1304,42505,22684,18252,309,2020-04-24
94,2670,6008,15485,10111,105847,87295,67657,2802,1358,43788,26107,19519,309,2020-04-25
95,2570,6216,15114,10594,106103,86072,73435,2986,1449,45334,28662,20486,277,2020-04-26
96,2479,6334,14733,11067,105813,85069,79007,3230,1527,46763,31701,21375,270,2020-04-27
97,2453,6453,14268,11757,105205,84403,84235,2830,1561,48155,35608,22569,232,2020-04-28
98,2405,6631,13909,12117,104657,79695,88141,3174,1702,49698,40040,23546,228,2020-04-29
99,2368,6877,13509,12982,101551,76842,93806,3471,1777,51135,45246,24641,216,2020-04-30
100,2321,7109,13237,13846,100943,78623,100042,3453,1880,52793,47751,26027,187,2020-05-01
101,2308,7201,12942,14513,100704,74234,107819,3664,1964,54229,49402,27557,180,2020-05-02
102,2215,7402,12799,14830,100179,73300,116768,4103,2075,56696,51784,29339,176,2020-05-03
103,2111,7547,12991,15734,99980,71240,125817,4336,2185,57941,55438,32024,193,2020-05-04
104,2035,7639,13155,17045,98467,70230,134054,4678,2301,59012,59296,33565,187,2020-05-05
105,1978,7840,13645,17595,91528,68466,143065,4502,2324,60315,66653,35871,173,2020-05-06
106,1935,8040,13905,18306,89624,66866,151732,4918,2376,61647,71233,37686,165,2020-05-07
107,1920,8033,14313,20291,87961,65410,159528,5564,2414,62964,77580,39823,161,2020-05-08
108,1801,8064,14567,21612,84842,63148,164933,5251,2518,64082,83720,41406,161,2020-05-09
109,1781,8151,14820,22820,83324,61563,173467,5648,2543,65087,86619,43980,159,2020-05-10
110,1751,8361,15179,24787,82488,63553,179534,6089,2543,66136,90557,45925,163,2020-05-11
111,1734,8493,15677,25638,81266,62130,186615,6787,2554,67106,93156,47457,163,2020-05-12
112,1716,8595,16514,25323,78457,60764,192056,7110,2673,68130,98473,49104,117,2020-05-13
113,1706,8749,17140,27085,76440,58845,196410,6825,2755,69176,109687,51379,112,2020-05-14
114,1695,8825,17897,27085,72070,57941,202199,7194,2822,70267,120359,52773,115,2020-05-15
115,1688,8927,18308,27937,70187,56689,206340,7616,2870,71393,128177,53553,114,2020-05-16
116,1686,9054,18746,29300,68351,56689,211748,8245,2964,72416,130840,55878,116,2020-05-17
117,1691,9158,19774,30538,66553,53521,217747,8849,3021,73438,138056,57939,118,2020-05-18
118,1691,9262,20311,31812,65129,53883,220974,8928,3070,74452,147108,60864,120,2020-05-19
119,1691,9447,20958,32919,62752,54291,220341,8714,3006,75412,156037,63172,90,2020-05-20
120,1691,9588,21528,34426,60960,54721,221774,9818,3091,76462,164080,66089,84,2020-05-21
121,1687,9648,22076,34683,59322,55820,223374,9624,3080,77574,174412,69244,71,2020-05-22
122,1687,9737,22090,36270,57752,56236,224558,10832,3095,78672,182798,73170,68,2020-05-23
123,1690,9918,22483,37700,56594,56644,227641,11054,2922,79559,190634,76820,63,2020-05-24
124,1688,10123,22560,38194,55300,58190,230996,11217,3147,80451,197592,80072,57,2020-05-25
125,1683,10371,22566,38784,52942,58766,227406,10999,3162,81324,208117,82172,59,2020-05-26
126,1677,10639,22851,39736,50966,58766,224504,11934,3105,82100,219576,85803,66,2020-05-27
127,1673,11069,23234,40406,47986,60411,223916,12456,3090,82981,233880,89755,63,2020-05-28
128,1679,11972,24060,40931,46175,61067,223992,13536,3074,83833,247812,85884,74,2020-05-29
129,1680,12466,24389,42742,43691,61727,224551,14208,3072,84509,268714,89706,59,2020-05-30
130,1695,13220,24821,44834,42075,61976,229267,15191,2993,85092,278980,93349,61,2020-05-31
131,1694,13699,25563,47667,41367,62135,233965,16361,2958,85871,285430,97008,60,2020-06-01
132,1699,13968,26543,49852,39893,62429,231553,16744,2892,86470,300546,101077,59,2020-06-02
133,1694,14621,27478,53366,39297,62822,230948,17051,2842,87050,312851,106665,58,2020-06-03
134,1694,15150,28714,56213,38429,63151,230965,18633,2853,87540,325957,111900,75,2020-06-04
135,1695,15309,29281,59467,36976,63468,231499,19438,2792,88157,343805,116302,73,2020-06-05
136,1700,15905,29178,63476,35877,63799,231450,20763,2721,88613,359767,120981,75,2020-06-06
137,1695,16362,29159,67249,35262,64038,234950,22923,2730,89289,371351,126431,82,2020-06-07
138,1689,16826,29121,71127,34730,64205,239854,23700,2751,89857,292021,129360,88,2020-06-08
139,1685,17239,29045,75139,32872,64454,236579,22823,2707,90259,304360,133726,90,2020-06-09
140,1691,17810,28842,80872,31710,64768,234378,22706,2678,90670,318820,143297,86,2020-06-10
141,1690,17974,28909,83223,30637,65195,234629,24032,2593,91076,331944,141842,80,2020-06-11
142,1694,18281,29217,83223,28997,65697,235194,25567,2625,91458,341859,145779,84,2020-06-12
143,1749,18612,29477,79798,27485,66093,238511,27463,2630,91848,348358,149348,89,2020-06-13
144,1791,18888,29916,88028,26274,66416,241793,30027,2546,92174,355151,153106,90,2020-06-14
145,1827,19070,30336,89692,25909,66597,245382,32098,2519,92523,366603,153178,90,2020-06-15
146,1867,19126,30699,93348,24569,66816,243671,32646,2517,92804,387943,155227,84,2020-06-16
147,1886,19310,31054,97810,23925,67171,241281,34407,2526,93167,387821,160384,81,2020-06-17
148,1917,19593,31384,100450,23101,67756,239262,37233,2496,93504,395814,163248,86,2020-06-18
149,1917,19951,31678,104780,21543,66884,236610,38059,2483,93894,432328,168269,80,2020-06-19
150,1956,20600,31693,105224,21212,67240,234146,40478,2470,94284,440824,169469,71,2020-06-20
151,1974,20990,31738,106040,20972,67573,236636,43764,2504,94584,444632,174387,72,2020-06-21
152,2015,21362,31356,107868,20637,67804,239422,46155,2509,94912,453463,178014,71,2020-06-22
153,2035,22197,30947,107417,19573,68051,234682,48961,2541,95243,465298,183022,75,2020-06-23
154,2048,22435,30409,107760,18655,68383,229318,52717,2587,95531,474332,186514,62,2020-06-24
155,2066,22947,29863,107615,18303,68780,229997,56109,2647,95884,493619,189463,62,2020-06-25
156,2084,23667,29633,107942,17638,69191,227642,58139,2734,96046,516614,197387,64,2020-06-26
157,2096,24137,29155,106213,16836,69752,225118,62293,2874,96290,528882,203051,51,2020-06-27
158,2094,24525,28851,106938,16681,70051,226067,66753,3005,96599,540503,210120,51,2020-06-28
159,2108,25227,28355,106530,16496,70248,228316,71121,2992,97190,552070,215125,58,2020-06-29
160,2100,26015,28087,108273,15563,70540,225650,75009,3098,97435,554129,220169,57,2020-06-30
161,2113,26803,27766,108642,15255,70919,221723,80559,3312,97598,570479,226947,56,2020-07-01
162,2112,26858,27659,103722,15060,71359,222287,83218,3387,97931,477282,227439,62,2020-07-02
163,2107,27983,27723,103722,14884,71784,219942,87874,3301,98228,491292,235433,56,2020-07-03
164,2101,29087,27521,95570,14621,71784,217426,93724,3373,98441,522008,244814,61,2020-07-04
165,2103,31015,27537,95407,14642,71784,220143,100236,3497,98643,509143,253287,61,2020-07-05
166,2114,32845,27237,94713,14709,73025,223002,104563,3561,99055,495255,259571,65,2020-07-06
167,2113,34178,26757,91602,14242,73362,219634,110054,3817,99246,494836,264944,65,2020-07-07
168,2100,36457,26832,90554,13595,73741,217381,114221,4041,99536,505352,269789,65,2020-07-08
169,2142,37627,25977,89449,13459,74279,214920,121558,4183,99847,515148,276685,59,2020-07-09
170,2142,38324,25258,88094,13428,75129,213629,128595,4122,100161,513068,283407,57,2020-07-10
171,2147,38813,24816,86975,13303,75129,211667,132498,4584,100320,524293,292231,70,2020-07-11
172,2162,38679,24481,84442,13179,75129,214510,137289,4441,100507,527738,301609,71,2020-07-12
173,2162,35036,24081,77628,13157,77171,217957,145383,4652,101136,520883,311565,72,2020-07-13
174,2211,35483,23692,77573,12919,77834,215232,147667,4893,101493,529266,319840,78,2020-07-14
175,2191,36260,23590,73751,12493,78705,211069,145903,4938,101824,541284,331175,82,2020-07-15
176,2239,38183,22845,73751,12473,80063,208891,153961,5196,102257,537932,342473,83,2020-07-16
177,2287,39593,22776,57886,12456,81459,207428,154607,5461,102663,539957,359060,85,2020-07-17
178,2275,41464,22327,53652,12368,81459,206078,163701,5737,102971,548680,373542,92,2020-07-18
179,2315,43160,21812,53555,12440,81459,208601,168236,5955,103260,559829,390622,96,2020-07-19
180,2409,43991,21710,52427,12404,86038,211160,173590,6204,104024,524226,402678,96,2020-07-20
181,2452,45646,21842,51283,12248,87394,208082,168286,6532,104553,522828,411296,92,2020-07-21
182,2610,46803,21720,50307,12322,88749,204115,159833,6778,104865,552768,426330,98,2020-07-22
183,2695,48136,21730,44854,12404,91361,201552,165699,6991,105467,583080,440298,114,2020-07-23
184,2807,50063,22022,29504,12301,93613,198745,169882,7654,106180,564914,456234,114,2020-07-24
185,2916,50763,22036,29857,12442,93613,196096,164491,7542,106529,522705,468002,115,2020-07-25
186,3056,52406,22259,29857,12565,93613,198652,173587,8114,106843,519174,485277,124,2020-07-26
187,3258,53649,22550,27421,12581,93613,201097,170537,7973,107514,508116,495499,128,2020-07-27
